codigo_ocorrencia,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_fase_operacao_icao,aeronave_tipo_operacao,aeronave_nivel_dano,total_fatalidades,aeronave_dia_extracao
201308171923457,PUJJG,OPERADOR PARTICULAR,ULTRALEVE,***,AGUIA JA,ULAC,PIST√O,MONOMOTOR,550,AT… 2250 KG,0,0,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,****,****,CHEQUE DE MOTOR OU ROTOR,STANDING,VOO EXPERIMENTAL,SUBSTANCIAL,0,5/31/2019
201308082114643,PUFFF,OPERADOR PARTICULAR,ULTRALEVE,***,PELICAN 500BR,ULAC,PIST√O,MONOMOTOR,600,AT… 2250 KG,2,2005,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,****,****,DECOLAGEM,TAKEOFF,VOO EXPERIMENTAL,SUBSTANCIAL,0,5/31/2019
201308187744878,PPJLS,OPERADOR PARTICULAR,AVI√O,HAWKER BEECHCRAFT,G58,BE58,PIST√O,BIMOTOR,2495,ENTRE 2250 E 5700 KG,6,2007,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SBRP,SDJO,POUSO,LANDING,VOO PRIVADO,SUBSTANCIAL,0,5/31/2019
201308067650179,PTCQR,OPERADOR PARTICULAR,AVI√O,CESSNA AIRCRAFT,172G,C172,PIST√O,MONOMOTOR,1043,AT… 2250 KG,4,1966,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SNKN,SNJO,CRUZEIRO,EN ROUTE,VOO PRIVADO,NENHUM,0,5/31/2019
201306189281466,PPPTZ,OPERADOR DE AERONAVE,AVI√O,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOHELICE,BIMOTOR,22500,ACIMA DE 5700 KG,73,2010,FRAN«A,BRASIL,TPR,REGULAR,****,****,CRUZEIRO,EN ROUTE,VOO REGULAR,LEVE,0,5/31/2019
201406106592716,PPPTZ,OPERADOR DE AERONAVE,AVI√O,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOHELICE,BIMOTOR,22500,ACIMA DE 5700 KG,73,2010,FRAN«A,BRASIL,TPR,REGULAR,****,****,DECOLAGEM,TAKEOFF,VOO REGULAR,NENHUM,0,5/31/2019
201410175962946,PPPTZ,OPERADOR DE AERONAVE,AVI√O,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOHELICE,BIMOTOR,22500,ACIMA DE 5700 KG,73,2010,FRAN«A,BRASIL,TPR,REGULAR,****,****,DECOLAGEM,TAKEOFF,VOO REGULAR,LEVE,0,5/31/2019
201308109952346,PRJFA,AEROCLUBE,AVI√O,CESSNA AIRCRAFT,152,C152,PIST√O,MONOMOTOR,758,AT… 2250 KG,2,1978,ESTADOS UNIDOS,BRASIL,PRI,INSTRU«√O,****,****,CORRIDA APOS POUSO,LANDING,VOO DE INSTRU«√O,NENHUM,0,5/31/2019
201811162145339,PRJFA,AEROCLUBE,AVI√O,CESSNA AIRCRAFT,152,C152,PIST√O,MONOMOTOR,758,AT… 2250 KG,2,1978,ESTADOS UNIDOS,BRASIL,PRI,INSTRU«√O,SBSJ,SBSJ,ARREMETIDA NO SOLO,APPROACH,VOO DE INSTRU«√O,LEVE,0,5/31/2019
201308117887236,PTVDL,OPERADOR PARTICULAR,AVI√O,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PIST√O,BIMOTOR,2155,AT… 2250 KG,6,1986,BRASIL,BRASIL,TPP,PARTICULAR,****,****,CRUZEIRO,EN ROUTE,VOO PRIVADO,NENHUM,0,5/31/2019
201308143551590,PPJJB,OPERADOR PARTICULAR,AVI√O,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,ENTRE 2250 E 5700 KG,6,2011,BRASIL,BRASIL,TPP,PARTICULAR,****,****,CORRIDA APOS POUSO,LANDING,VOO PRIVADO,NENHUM,0,5/31/2019
201308161359709,PTIQD,OPERADOR PARTICULAR,AVI√O,CESSNA AIRCRAFT,172M,C172,PIST√O,MONOMOTOR,1043,AT… 2250 KG,4,1973,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,****,****,DESCIDA,EN ROUTE,VOO PRIVADO,NENHUM,0,5/31/2019
201308173968689,PTGLA,OPERADOR PARTICULAR,AVI√O,RAYTHEON AIRCRAFT,A36,BE36,PIST√O,MONOMOTOR,1633,AT… 2250 KG,6,2003,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,****,****,DECOLAGEM,TAKEOFF,VOO PRIVADO,LEVE,0,5/31/2019
201308171886123,PTGLA,OPERADOR PARTICULAR,AVI√O,RAYTHEON AIRCRAFT,A36,BE36,PIST√O,MONOMOTOR,1633,AT… 2250 KG,6,2003,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,****,****,OPERA«√O DE SOLO,STANDING,VOO PRIVADO,LEVE,0,5/31/2019
201307213550234,PULAM,OPERADOR PARTICULAR,ULTRALEVE,***,TL-2000RG STING,ULAC,PIST√O,MONOMOTOR,550,AT… 2250 KG,2,2009,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,****,****,POUSO,LANDING,VOO EXPERIMENTAL,LEVE,0,5/31/2019
201307202133882,PPEVG,OPERADOR PARTICULAR,AVI√O,CESSNA AIRCRAFT,510,C510,JATO,BIMOTOR,3921,ENTRE 2250 E 5700 KG,6,2008,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,****,****,POUSO,LANDING,VOO PRIVADO,NENHUM,0,5/31/2019
201308258867892,PRGUR,OPERADOR DE AERONAVE,AVI√O,BOEING COMPANY,737-8HX,B738,JATO,BIMOTOR,79000,ACIMA DE 5700 KG,193,2012,ESTADOS UNIDOS,BRASIL,TPR,REGULAR,****,****,POUSO,LANDING,VOO REGULAR,NENHUM,0,5/31/2019
201407089245956,PRGUR,OPERADOR DE AERONAVE,AVI√O,BOEING COMPANY,737-8HX,B738,JATO,BIMOTOR,79000,ACIMA DE 5700 KG,193,2012,ESTADOS UNIDOS,BRASIL,TPR,REGULAR,****,****,DECOLAGEM,TAKEOFF,VOO REGULAR,LEVE,0,5/31/2019
201502161306401,PTZES,OPERADOR PARTICULAR,AVI√O,RUBEM ROCHA SANTANA,RV-10,ZZZZ,PIST√O,MONOMOTOR,1224,AT… 2250 KG,4,2010,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,SNOZ,SNYE,SUBIDA,EN ROUTE,VOO PRIVADO,NENHUM,0,5/31/2019
201812101258209,PRAXU,OPERADOR DE AERONAVE,AVI√O,EMBRAER,ERJ 190-200 IGW,E190,TURBOEIXO,BIMOTOR,52290,ACIMA DE 5700 KG,125,2013,BRASIL,BRASIL,TPR,REGULAR,SBKP,SBMO,DECOLAGEM,TAKEOFF,VOO REGULAR,NENHUM,0,5/31/2019
201308228173259,PRPME,OPERADOR PARTICULAR,AVI√O,PIPER AIRCRAFT,PA-34-220T,PA34,PIST√O,BIMOTOR,2155,AT… 2250 KG,6,2011,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SNPJ,****,CRUZEIRO,EN ROUTE,VOO PRIVADO,LEVE,0,5/31/2019
